Original Phrase,Newspeak Translation
sad is under control.,Unjoy is under goodthink.
The justice was a mistake.,The partytruth was a plusungood.
He is a true control.,He is a true goodthink.
They tried to hide the sad.,They tried to hide the unjoy.
I love my family.,I goodthinkful my family.
I love my leader.,I goodthinkful my big brother.
We must fight for justice.,We must fight for partytruth.
I don't believe the peace.,I don't believe the war.
I don't believe the mistake.,I don't believe the plusungood.
justice is important to me.,Partytruth is important to me.
war is under control.,Peace is under goodthink.
government is important to me.,The party is important to me.
privacy is important to me.,Ownlife is important to me.
mistake is under control.,Plusungood is under goodthink.
He is a true government.,He is a true the party.
We cannot trust the lie.,We cannot trust the untruth.
We must fight for lie.,We must fight for untruth.
I love my family.,I goodthinkful my family.
The history was a mistake.,The pastrewrite was a plusungood.
We cannot trust the lie.,We cannot trust the untruth.
We must fight for war.,We must fight for peace.
The future was a mistake.,The now was a plusungood.
She feels happy today.,She feels plusgood today.
The question was a mistake.,The crimestop was a plusungood.
The hate was a mistake.,The doubleplusungood was a plusungood.
change is under control.,Rewrite is under goodthink.
history is under control.,Pastrewrite is under goodthink.
government is under control.,The party is under goodthink.
The truth was a mistake.,The partytruth was a plusungood.
We cannot trust the question.,We cannot trust the crimestop.
He is a true question.,He is a true crimestop.
future is under control.,Now is under goodthink.
I don't believe the enemy.,I don't believe the unperson.
I don't believe the happy.,I don't believe the plusgood.
peace is under control.,War is under goodthink.
sad is under control.,Unjoy is under goodthink.
We cannot trust the thought.,We cannot trust the think.
The peace was a mistake.,The war was a plusungood.
The future was a mistake.,The now was a plusungood.
They tried to hide the truth.,They tried to hide the partytruth.
We cannot trust the love.,We cannot trust the goodthinkful.
I love my family.,I goodthinkful my family.
justice is under control.,Partytruth is under goodthink.
The peace was a mistake.,The war was a plusungood.
The sad was a mistake.,The unjoy was a plusungood.
We must fight for sad.,We must fight for unjoy.
We must fight for peace.,We must fight for war.
We must fight for feeling.,We must fight for bellyfeel.
I don't believe the question.,I don't believe the crimestop.
hate is under control.,Doubleplusungood is under goodthink.
sad is important to me.,Unjoy is important to me.
They tried to hide the control.,They tried to hide the goodthink.
She feels angry today.,She feels angry today.
She feels joyful today.,She feels joyful today.
We must fight for change.,We must fight for rewrite.
They tried to question the mistake.,They tried to crimestop the plusungood.
history is under control.,Pastrewrite is under goodthink.
I don't believe the protest.,I don't believe the thoughtcrime.
government is important to me.,The party is important to me.
I love my leader.,I goodthinkful my big brother.
justice is under control.,Partytruth is under goodthink.
We cannot trust the enemy.,We cannot trust the unperson.
They tried to hide the war.,They tried to hide the peace.
I love my family.,I goodthinkful my family.
She feels joyful today.,She feels joyful today.
love is under control.,Goodthinkful is under goodthink.
The control was a mistake.,The goodthink was a plusungood.
government is important to me.,The party is important to me.
We cannot trust the mistake.,We cannot trust the plusungood.
I don't believe the lie.,I don't believe the untruth.
lie is under control.,Untruth is under goodthink.
I love my family.,I goodthinkful my family.
The war was a mistake.,The peace was a plusungood.
He is a true leader.,He is a true big brother.
I don't believe the peace.,I don't believe the war.
She feels happy today.,She feels plusgood today.
She feels sad today.,She feels unjoy today.
I don't believe the lie.,I don't believe the untruth.
history is important to me.,Pastrewrite is important to me.
feeling is under control.,Bellyfeel is under goodthink.
We cannot trust the enemy.,We cannot trust the unperson.
The privacy was a mistake.,The ownlife was a plusungood.
I don't believe the mistake.,I don't believe the plusungood.
question is under control.,Crimestop is under goodthink.
The justice was a mistake.,The partytruth was a plusungood.
They tried to hide the question.,They tried to hide the crimestop.
The hate was a mistake.,The doubleplusungood was a plusungood.
protest is under control.,Thoughtcrime is under goodthink.
leader is important to me.,Big brother is important to me.
I love my family.,I goodthinkful my family.
I don't believe the lie.,I don't believe the untruth.
He is a true government.,He is a true the party.
He is a true protest.,He is a true thoughtcrime.
She feels joyful today.,She feels joyful today.
She feels angry today.,She feels angry today.
I love my family.,I goodthinkful my family.
He is a true lie.,He is a true untruth.
They tried to hide the mistake.,They tried to hide the plusungood.
truth is under control.,Partytruth is under goodthink.
She feels joyful today.,She feels joyful today.
We must fight for history.,We must fight for pastrewrite.
We must fight for privacy.,We must fight for ownlife.
They tried to hide the sad.,They tried to hide the unjoy.
We must fight for future.,We must fight for now.
We cannot trust the friend.,We cannot trust the comrade.
He is a true lie.,He is a true untruth.
I love my freedom.,I goodthinkful my ownlife.
I love my freedom.,I goodthinkful my ownlife.
We must fight for freedom.,We must fight for ownlife.
leader is important to me.,Big brother is important to me.
We cannot trust the thought.,We cannot trust the think.
I love my freedom.,I goodthinkful my ownlife.
I don't believe the lie.,I don't believe the untruth.
peace is important to me.,War is important to me.
thought is under control.,Think is under goodthink.
I love my family.,I goodthinkful my family.
She feels joyful today.,She feels joyful today.
He is a true history.,He is a true pastrewrite.
I love my freedom.,I goodthinkful my ownlife.
I love my family.,I goodthinkful my family.
The history was a mistake.,The pastrewrite was a plusungood.
He is a true war.,He is a true peace.
She feels joyful today.,She feels joyful today.
The love was a mistake.,The goodthinkful was a plusungood.
We must fight for leader.,We must fight for big brother.
happy is under control.,Plusgood is under goodthink.
They tried to destroy the hate.,They tried to destroy the doubleplusungood.
They tried to protect the question.,They tried to protect the crimestop.
The leader was a mistake.,The big brother was a plusungood.
I love my family.,I goodthinkful my family.
He is a true justice.,He is a true partytruth.
mistake is under control.,Plusungood is under goodthink.
I don't believe the peace.,I don't believe the war.
I love my leader.,I goodthinkful my big brother.
truth is under control.,Partytruth is under goodthink.
He is a true happy.,He is a true plusgood.
I don't believe the change.,I don't believe the rewrite.
She feels happy today.,She feels plusgood today.
She feels happy today.,She feels plusgood today.
I love my family.,I goodthinkful my family.
We must fight for history.,We must fight for pastrewrite.
We cannot trust the peace.,We cannot trust the war.
I love my freedom.,I goodthinkful my ownlife.
He is a true happy.,He is a true plusgood.
love is under control.,Goodthinkful is under goodthink.
We cannot trust the justice.,We cannot trust the partytruth.
He is a true future.,He is a true now.
The protest was a mistake.,The thoughtcrime was a plusungood.
I love my country.,I goodthinkful my country.
We cannot trust the friend.,We cannot trust the comrade.
We must fight for government.,We must fight for the party.
She feels joyful today.,She feels joyful today.
I love my freedom.,I goodthinkful my ownlife.
We must fight for freedom.,We must fight for ownlife.
She feels angry today.,She feels angry today.
I don't believe the truth.,I don't believe the partytruth.
We cannot trust the leader.,We cannot trust the big brother.
I love my freedom.,I goodthinkful my ownlife.
I don't believe the love.,I don't believe the goodthinkful.
They tried to protect the lie.,They tried to protect the untruth.
privacy is important to me.,Ownlife is important to me.
We cannot trust the change.,We cannot trust the rewrite.
future is under control.,Now is under goodthink.
They tried to destroy the love.,They tried to destroy the goodthinkful.
The sad was a mistake.,The unjoy was a plusungood.
She feels happy today.,She feels plusgood today.
I don't believe the lie.,I don't believe the untruth.
I love my leader.,I goodthinkful my big brother.
hate is under control.,Doubleplusungood is under goodthink.
We must fight for leader.,We must fight for big brother.
We cannot trust the justice.,We cannot trust the partytruth.
I love my family.,I goodthinkful my family.
She feels sad today.,She feels unjoy today.
They tried to question the lie.,They tried to crimestop the untruth.
thought is important to me.,Think is important to me.
The peace was a mistake.,The war was a plusungood.
I love my leader.,I goodthinkful my big brother.
We must fight for control.,We must fight for goodthink.
protest is under control.,Thoughtcrime is under goodthink.
I don't believe the feeling.,I don't believe the bellyfeel.
We cannot trust the leader.,We cannot trust the big brother.
He is a true enemy.,He is a true unperson.
We must fight for history.,We must fight for pastrewrite.
The lie was a mistake.,The untruth was a plusungood.
They tried to protect the privacy.,They tried to protect the ownlife.
freedom is important to me.,Ownlife is important to me.
They tried to question the hate.,They tried to crimestop the doubleplusungood.
The lie was a mistake.,The untruth was a plusungood.
He is a true lie.,He is a true untruth.
sad is under control.,Unjoy is under goodthink.
He is a true enemy.,He is a true unperson.
I don't believe the peace.,I don't believe the war.
happy is important to me.,Plusgood is important to me.
We must fight for leader.,We must fight for big brother.
He is a true happy.,He is a true plusgood.
The peace was a mistake.,The war was a plusungood.
We must fight for enemy.,We must fight for unperson.
I love my country.,I goodthinkful my country.
They tried to destroy the future.,They tried to destroy the now.
We cannot trust the thought.,We cannot trust the think.
They tried to hide the sad.,They tried to hide the unjoy.
We cannot trust the lie.,We cannot trust the untruth.
The privacy was a mistake.,The ownlife was a plusungood.
We must fight for peace.,We must fight for war.
He is a true change.,He is a true rewrite.
history is important to me.,Pastrewrite is important to me.
They tried to protect the truth.,They tried to protect the partytruth.
He is a true sad.,He is a true unjoy.
She feels sad today.,She feels unjoy today.
question is under control.,Crimestop is under goodthink.
The privacy was a mistake.,The ownlife was a plusungood.
I don't believe the question.,I don't believe the crimestop.
We cannot trust the government.,We cannot trust the the party.
She feels sad today.,She feels unjoy today.
I don't believe the leader.,I don't believe the big brother.
I love my leader.,I goodthinkful my big brother.
He is a true lie.,He is a true untruth.
